pos,doc_id,language,label
0,0,tagalog,1
1,1,tagalog,1
2,2,tagalog,1
3,3,tagalog,1
4,4,tagalog,1
5,5,tagalog,1
6,6,tagalog,1
7,7,tagalog,1
8,8,tagalog,1
9,9,tagalog,1
10,10,tagalog,1
11,11,tagalog,1
12,12,tagalog,1
13,13,tagalog,1
14,14,tagalog,1
15,15,tagalog,1
16,16,tagalog,1
17,17,tagalog,1
18,18,tagalog,1
19,19,tagalog,1
20,20,tagalog,1
21,21,tagalog,1
22,22,tagalog,1
23,23,tagalog,1
24,24,tagalog,1
25,25,tagalog,1
26,26,tagalog,1
27,27,tagalog,1
28,28,tagalog,1
29,29,tagalog,1
30,30,tagalog,1
31,31,tagalog,1
32,32,tagalog,1
33,33,tagalog,1
34,34,tagalog,1
35,35,tagalog,1
36,36,tagalog,1
37,37,tagalog,1
38,38,tagalog,1
39,39,tagalog,1
40,40,tagalog,1
41,41,tagalog,1
42,42,tagalog,1
43,43,tagalog,1
44,44,tagalog,1
45,45,tagalog,1
46,46,tagalog,1
47,47,tagalog,1
48,48,tagalog,1
49,49,tagalog,1
50,50,tagalog,1
51,51,tagalog,1
52,52,tagalog,1
53,53,tagalog,1
54,54,tagalog,1
55,55,tagalog,1
56,56,tagalog,1
57,57,tagalog,1
58,58,tagalog,1
59,59,tagalog,1
60,60,tagalog,1
61,61,tagalog,1
62,62,tagalog,1
63,63,tagalog,1
64,64,tagalog,1
65,65,tagalog,1
66,66,tagalog,1
67,67,tagalog,1
68,68,tagalog,2
69,69,tagalog,2
70,70,tagalog,2
71,71,tagalog,2
72,72,tagalog,2
73,73,tagalog,2
74,74,tagalog,2
75,75,tagalog,2
76,76,tagalog,2
77,77,tagalog,2
78,78,tagalog,2
79,79,tagalog,2
80,80,tagalog,2
81,81,tagalog,2
82,82,tagalog,2
83,83,tagalog,2
84,84,tagalog,2
85,85,tagalog,2
86,86,tagalog,2
87,87,tagalog,2
88,88,tagalog,2
89,89,tagalog,2
90,90,tagalog,2
91,91,tagalog,2
92,92,tagalog,2
93,93,tagalog,2
94,94,tagalog,2
95,95,tagalog,2
96,96,tagalog,2
97,97,tagalog,2
98,98,tagalog,2
99,99,tagalog,2
100,100,tagalog,2
101,101,tagalog,2
102,102,tagalog,2
103,103,tagalog,2
104,104,tagalog,2
105,105,tagalog,2
106,106,tagalog,2
107,107,tagalog,2
108,108,tagalog,2
109,109,tagalog,2
110,110,tagalog,2
111,111,tagalog,2
112,112,tagalog,2
113,113,tagalog,2
114,114,tagalog,2
115,115,tagalog,2
116,116,tagalog,2
117,117,tagalog,2
118,118,tagalog,2
119,119,tagalog,2
120,120,tagalog,2
121,121,tagalog,2
122,122,tagalog,2
123,123,tagalog,2
124,124,tagalog,2
125,125,tagalog,2
126,126,tagalog,2
127,127,tagalog,2
128,128,tagalog,2
129,129,tagalog,2
130,130,tagalog,2
131,131,tagalog,2
132,132,tagalog,2
133,133,tagalog,2
134,134,tagalog,2
135,135,tagalog,2
136,136,tagalog,2
137,137,tagalog,2
138,138,tagalog,2
139,139,tagalog,2
140,140,tagalog,2
141,141,tagalog,2
142,142,tagalog,2
143,143,tagalog,2
144,144,tagalog,2
145,145,tagalog,2
146,146,tagalog,2
147,147,tagalog,2
148,148,tagalog,2
149,149,tagalog,2
150,150,tagalog,2
151,151,tagalog,2
152,152,tagalog,2
153,153,tagalog,2
154,154,tagalog,2
155,155,tagalog,2
156,156,tagalog,2
157,157,tagalog,2
158,158,tagalog,2
159,159,tagalog,2
160,160,tagalog,2
161,161,tagalog,2
162,162,tagalog,2
163,163,tagalog,2
164,164,tagalog,3
165,165,tagalog,3
166,166,tagalog,3
167,167,tagalog,3
168,168,tagalog,3
169,169,tagalog,3
170,170,tagalog,3
171,171,tagalog,3
172,172,tagalog,3
173,173,tagalog,3
174,174,tagalog,3
175,175,tagalog,3
176,176,tagalog,3
177,177,tagalog,3
178,178,tagalog,3
179,179,tagalog,3
180,180,tagalog,3
181,181,tagalog,3
182,182,tagalog,3
183,183,tagalog,3
184,184,tagalog,3
185,185,tagalog,3
186,186,tagalog,3
187,187,tagalog,3
188,188,tagalog,3
189,189,tagalog,3
190,190,tagalog,3
191,191,tagalog,3
192,192,tagalog,3
193,193,tagalog,3
194,194,tagalog,3
195,195,tagalog,3
196,196,tagalog,3
197,197,tagalog,3
198,198,tagalog,3
199,199,tagalog,3
200,200,tagalog,3
201,201,tagalog,3
202,202,tagalog,3
203,203,tagalog,3
204,204,tagalog,3
205,205,tagalog,3
206,206,tagalog,3
207,207,tagalog,3
208,208,tagalog,3
209,209,tagalog,3
210,210,tagalog,3
211,211,tagalog,3
212,212,tagalog,3
213,213,tagalog,3
214,214,tagalog,3
215,215,tagalog,3
216,216,tagalog,3
217,217,tagalog,3
218,218,tagalog,3
219,219,tagalog,3
220,220,tagalog,3
221,221,tagalog,3
222,222,tagalog,3
223,223,tagalog,3
224,224,tagalog,3
225,225,tagalog,3
226,226,tagalog,3
227,227,tagalog,3
228,228,tagalog,3
229,229,tagalog,3
230,230,tagalog,3
231,231,tagalog,3
232,232,tagalog,3
233,233,tagalog,3
234,234,tagalog,3
235,235,tagalog,3
236,236,tagalog,3
237,237,tagalog,3
238,238,tagalog,3
