doc_id,language,label,split_role
0,tagalog,1,high_resource
1,tagalog,1,high_resource
2,tagalog,1,high_resource
3,tagalog,1,high_resource
4,tagalog,1,high_resource
5,tagalog,1,high_resource
6,tagalog,1,high_resource
7,tagalog,1,high_resource
8,tagalog,1,high_resource
9,tagalog,1,high_resource
10,tagalog,1,high_resource
11,tagalog,1,high_resource
12,tagalog,1,high_resource
13,tagalog,1,high_resource
14,tagalog,1,high_resource
15,tagalog,1,high_resource
16,tagalog,1,high_resource
17,tagalog,1,high_resource
18,tagalog,1,high_resource
19,tagalog,1,high_resource
20,tagalog,1,high_resource
21,tagalog,1,high_resource
22,tagalog,1,high_resource
23,tagalog,1,high_resource
24,tagalog,1,high_resource
25,tagalog,1,high_resource
26,tagalog,1,high_resource
27,tagalog,1,high_resource
28,tagalog,1,high_resource
29,tagalog,1,high_resource
30,tagalog,1,high_resource
31,tagalog,1,high_resource
32,tagalog,1,high_resource
33,tagalog,1,high_resource
34,tagalog,1,high_resource
35,tagalog,1,high_resource
36,tagalog,1,high_resource
37,tagalog,1,high_resource
38,tagalog,1,high_resource
39,tagalog,1,high_resource
40,tagalog,1,high_resource
41,tagalog,1,high_resource
42,tagalog,1,high_resource
43,tagalog,1,high_resource
44,tagalog,1,high_resource
45,tagalog,1,high_resource
46,tagalog,1,high_resource
47,tagalog,1,high_resource
48,tagalog,1,high_resource
49,tagalog,1,high_resource
50,tagalog,1,high_resource
51,tagalog,1,high_resource
52,tagalog,1,high_resource
53,tagalog,1,high_resource
54,tagalog,1,high_resource
55,tagalog,1,high_resource
56,tagalog,1,high_resource
57,tagalog,1,high_resource
58,tagalog,1,high_resource
59,tagalog,1,high_resource
60,tagalog,1,high_resource
61,tagalog,1,high_resource
62,tagalog,1,high_resource
63,tagalog,1,high_resource
64,tagalog,1,high_resource
65,tagalog,1,high_resource
66,tagalog,1,high_resource
67,tagalog,1,high_resource
68,tagalog,2,high_resource
69,tagalog,2,high_resource
70,tagalog,2,high_resource
71,tagalog,2,high_resource
72,tagalog,2,high_resource
73,tagalog,2,high_resource
74,tagalog,2,high_resource
75,tagalog,2,high_resource
76,tagalog,2,high_resource
77,tagalog,2,high_resource
78,tagalog,2,high_resource
79,tagalog,2,high_resource
80,tagalog,2,high_resource
81,tagalog,2,high_resource
82,tagalog,2,high_resource
83,tagalog,2,high_resource
84,tagalog,2,high_resource
85,tagalog,2,high_resource
86,tagalog,2,high_resource
87,tagalog,2,high_resource
88,tagalog,2,high_resource
89,tagalog,2,high_resource
90,tagalog,2,high_resource
91,tagalog,2,high_resource
92,tagalog,2,high_resource
93,tagalog,2,high_resource
94,tagalog,2,high_resource
95,tagalog,2,high_resource
96,tagalog,2,high_resource
97,tagalog,2,high_resource
98,tagalog,2,high_resource
99,tagalog,2,high_resource
100,tagalog,2,high_resource
101,tagalog,2,high_resource
102,tagalog,2,high_resource
103,tagalog,2,high_resource
104,tagalog,2,high_resource
105,tagalog,2,high_resource
106,tagalog,2,high_resource
107,tagalog,2,high_resource
108,tagalog,2,high_resource
109,tagalog,2,high_resource
110,tagalog,2,high_resource
111,tagalog,2,high_resource
112,tagalog,2,high_resource
113,tagalog,2,high_resource
114,tagalog,2,high_resource
115,tagalog,2,high_resource
116,tagalog,2,high_resource
117,tagalog,2,high_resource
118,tagalog,2,high_resource
119,tagalog,2,high_resource
120,tagalog,2,high_resource
121,tagalog,2,high_resource
122,tagalog,2,high_resource
123,tagalog,2,high_resource
124,tagalog,2,high_resource
125,tagalog,2,high_resource
126,tagalog,2,high_resource
127,tagalog,2,high_resource
128,tagalog,2,high_resource
129,tagalog,2,high_resource
130,tagalog,2,high_resource
131,tagalog,2,high_resource
132,tagalog,2,high_resource
133,tagalog,2,high_resource
134,tagalog,2,high_resource
135,tagalog,2,high_resource
136,tagalog,2,high_resource
137,tagalog,2,high_resource
138,tagalog,2,high_resource
139,tagalog,2,high_resource
140,tagalog,2,high_resource
141,tagalog,2,high_resource
142,tagalog,2,high_resource
143,tagalog,2,high_resource
144,tagalog,2,high_resource
145,tagalog,2,high_resource
146,tagalog,2,high_resource
147,tagalog,2,high_resource
148,tagalog,2,high_resource
149,tagalog,2,high_resource
150,tagalog,2,high_resource
151,tagalog,2,high_resource
152,tagalog,2,high_resource
153,tagalog,2,high_resource
154,tagalog,2,high_resource
155,tagalog,2,high_resource
156,tagalog,2,high_resource
157,tagalog,2,high_resource
158,tagalog,2,high_resource
159,tagalog,2,high_resource
160,tagalog,2,high_resource
161,tagalog,2,high_resource
162,tagalog,2,high_resource
163,tagalog,2,high_resource
164,tagalog,3,high_resource
165,tagalog,3,high_resource
166,tagalog,3,high_resource
167,tagalog,3,high_resource
168,tagalog,3,high_resource
169,tagalog,3,high_resource
170,tagalog,3,high_resource
171,tagalog,3,high_resource
172,tagalog,3,high_resource
173,tagalog,3,high_resource
174,tagalog,3,high_resource
