book_title,tagalog_bigram_sim,bikol_bigram_sim,cebuano_bigram_sim,tagalog_trigram_sim,bikol_trigram_sim,cebuano_trigam_sim,grade_level
A Lata,0.9230769230769231,0.7948717948717948,0.8205128205128205,0.8125,0.4791666666666667,0.75,1
Aaloo-Maaloo-Kaaloo,0.7381756756756757,0.7297297297297297,0.7280405405405406,0.7891156462585034,0.6326530612244898,0.6689342403628118,1
Ako at ang Aking Paaralan,0.7593261131167268,0.7244283995186522,0.7376654632972323,0.8107255520504731,0.6514195583596214,0.6656151419558359,1
Ang Aking Matalik Na Kaibigan,0.7941176470588235,0.7411764705882353,0.788235294117647,0.905511811023622,0.7480314960629921,0.7874015748031497,1
Ang Aklat ni Nat,0.7603550295857988,0.7479289940828402,0.7455621301775148,0.82066609735269,0.6319385140905209,0.6695132365499573,1
Ang Alimango at Isda,0.7959770114942529,0.7787356321839081,0.7614942528735632,0.7962264150943397,0.6490566037735849,0.7320754716981132,1
Ang Aso ni Yana,0.8112582781456954,0.7649006622516556,0.7913907284768212,0.8768472906403941,0.6748768472906403,0.6896551724137931,1
Ang Baga,0.7763157894736842,0.6710526315789473,0.7368421052631579,0.7142857142857143,0.6326530612244898,0.7755102040816326,1
Ang baka na may isang sungay,0.8686131386861314,0.8321167883211679,0.8540145985401459,0.9137055837563451,0.7715736040609137,0.7817258883248731,1
Ang Batang si Karen,0.7935323383084577,0.7487562189054726,0.753731343283582,0.8721311475409836,0.6852459016393443,0.7114754098360656,1
Ang Bote ni Boyet,0.6879588839941263,0.6659324522760646,0.6328928046989721,0.6554267650158061,0.5648050579557429,0.5974710221285564,1
Ang Bukirin ni Mang Kanor,0.8051575931232091,0.7707736389684814,0.7779369627507163,0.8126232741617357,0.7041420118343196,0.7416173570019724,1
Ang Gunting ni Debora,0.6544117647058824,0.625,0.6279411764705882,0.6600790513833992,0.5632411067193676,0.5375494071146245,1
Ang Igi,0.6842105263157895,0.6710526315789473,0.6973684210526315,0.6818181818181818,0.5909090909090909,0.5909090909090909,1
Ang Kabayo at ang Baka,0.8324958123953099,0.7805695142378559,0.7738693467336684,0.891647855530474,0.7065462753950339,0.7291196388261851,1
Ang Kalaykay,0.81282722513089,0.7774869109947644,0.7853403141361257,0.851520572450805,0.7084078711985689,0.7459749552772809,1
Ang Kambal na sina Ding at Dong,0.8021978021978022,0.7527472527472527,0.7953296703296703,0.8373831775700935,0.7121495327102804,0.7420560747663552,1
Ang Kamoteng Kahoy ni Istoy,0.7777777777777778,0.7197346600331676,0.7396351575456053,0.8606194690265486,0.6924778761061947,0.7256637168141593,1
Ang Keso,0.7484076433121019,0.7127388535031847,0.7121019108280254,0.7734165923282783,0.6422836752899197,0.6806422836752899,1
Ang Mag-Anak sa Palengke,0.8017391304347826,0.768695652173913,0.7721739130434783,0.8240963855421687,0.6216867469879518,0.6650602409638554,1
Ang Magkapatid na si Ki at Dee,0.7182539682539683,0.6706349206349206,0.7261904761904762,0.8352272727272727,0.5909090909090909,0.7272727272727273,1
Ang Mahiwagang Kaldero,0.7688679245283019,0.6698113207547169,0.6839622641509434,0.8407643312101911,0.5923566878980892,0.6114649681528662,1
Ang Matulungin si Miko,0.754017305315204,0.715698393077874,0.7206427688504327,0.803030303030303,0.632996632996633,0.6734006734006734,1
Ang mga hayop sa kalye,0.8023255813953488,0.7558139534883721,0.7819767441860465,0.8359683794466403,0.6758893280632411,0.7470355731225297,1
Ang Munting Bahay nina Mira,0.8230668414154653,0.8034076015727392,0.7916120576671035,0.8304794520547946,0.7054794520547946,0.708904109589041,1
Ang Pamamasyal ni Pepe,0.74,0.7114285714285714,0.7057142857142857,0.768,0.592,0.616,1
Ang Pamilyang may Ginintuang Puso,0.7788331071913162,0.728629579375848,0.723202170963365,0.8047882136279927,0.6445672191528545,0.6832412523020258,1
Ang Puno ng Buhay,0.7543859649122807,0.682615629984051,0.7256778309409888,0.7869955156950673,0.600896860986547,0.6434977578475336,1
Ang regalo para kay Jyomo,0.7292576419213974,0.6899563318777293,0.6921397379912664,0.7545454545454545,0.6272727272727273,0.6666666666666666,1
Ang Sorpresang Regalo kay Bokbok,0.6999260901699926,0.6489283074648928,0.6400591278640059,0.6991869918699187,0.5548780487804879,0.5873983739837398,1
Ang Sukli ni Yuno,0.765625,0.690625,0.665625,0.7647058823529411,0.5972850678733032,0.7013574660633484,1
Astig ng Nanay Ko,0.7898104848634014,0.7391090327344327,0.7592911641644106,0.8382099827882961,0.685025817555938,0.7222030981067126,1
Ate Kaybuti Mo,0.7967755621552821,0.7445905812473483,0.7411964361476453,0.827906976744186,0.6680232558139535,0.6970930232558139,1
Bechay Pechay,0.7648970747562297,0.7432286023835319,0.7388949079089924,0.813953488372093,0.6642441860465116,0.6540697674418605,1
Bukas si Superman na Ako,0.7610759493670886,0.740506329113924,0.7294303797468354,0.815845824411135,0.6466809421841542,0.6659528907922913,1
Doon Po Sa Amin,0.7602836879432624,0.7156028368794326,0.7349881796690307,0.7852283770651117,0.6407515387107224,0.6624554583738257,1
Gutom na gutom ako!,0.7560975609756098,0.7491289198606271,0.7160278745644599,0.8663366336633663,0.6856435643564357,0.698019801980198,1
Halina,0.7801724137931034,0.7629310344827587,0.7672413793103449,0.7937853107344632,0.6596045197740112,0.690677966101695,1
Isang Araw sa Buhay Ko,0.815509693558474,0.7611006879299562,0.7617260787992496,0.8505244755244755,0.7036713286713286,0.7368881118881119,1
Isang Hiling,0.807265774378585,0.7544933078393882,0.7694072657743786,0.8385554965480616,0.6707381837493361,0.709506107275624,1
Isko Hambugero,0.7622478386167147,0.7363112391930836,0.7478386167146974,0.8475247524752475,0.6594059405940594,0.6772277227722773,1
Kakaiba si Kara,0.7763157894736842,0.7309941520467836,0.7324561403508771,0.8392156862745098,0.6529411764705882,0.6666666666666666,1
Kiko at Kakusog,0.7761904761904762,0.7485714285714286,0.7704761904761904,0.7994825355756792,0.6778783958602846,0.6416558861578266,1
Lito Lita,0.7641509433962265,0.7358490566037735,0.7075471698113207,0.7588652482269503,0.6595744680851063,0.7092198581560284,1
Maging Malusog,0.7707182320441989,0.744475138121547,0.7375690607734806,0.833941605839416,0.6934306569343066,0.7244525547445255,1
May Mesa si Eba,0.7653061224489796,0.7653061224489796,0.7244897959183674,0.631578947368421,0.543859649122807,0.543859649122807,1
May Trabungko sa Ilog nina Lolo Isko,0.7698887938408896,0.7254063301967494,0.7408041060735672,0.7703180212014135,0.6383981154299175,0.6784452296819788,1
Mga Ibon,0.76,0.7371428571428571,0.72,0.9024390243902439,0.6829268292682927,0.7073170731707317,1
Mga Kasama sa Isla,0.7833333333333333,0.75,0.75,0.7394957983193278,0.5546218487394958,0.6386554621848739,1
Mga Parte ng Ulo,0.7677053824362606,0.7379603399433428,0.7393767705382436,0.803921568627451,0.692156862745098,0.7176470588235294,1
Munting Mario,0.755331088664422,0.72334455667789,0.754769921436588,0.8149546827794562,0.6631419939577039,0.6601208459214502,1
Natuto Rin,0.7828282828282829,0.7626262626262627,0.7505050505050505,0.8300561797752809,0.7120786516853933,0.6966292134831461,1
Paano na ang Pasko?,0.7865853658536586,0.7278963414634146,0.7378048780487805,0.7936016511867905,0.6150670794633643,0.6893704850361198,1
