book_title,tagalog_bigram_sim,bikol_bigram_sim,cebuano_bigram_sim,tagalog_trigram_sim,bikol_trigram_sim,cebuano_trigam_sim,grade_level
Akong Higala,0.7591240875912408,0.7007299270072993,0.7262773722627737,0.7112299465240641,0.6203208556149733,0.8288770053475936,1
Alibangbang ug Kalaw,0.7443181818181818,0.7613636363636364,0.75,0.6911764705882353,0.7058823529411765,0.625,1
Amigo Kong Piso,0.6746031746031746,0.626984126984127,0.6428571428571429,0.6,0.5444444444444444,0.6888888888888889,1
An Akon Pamilya,0.7250996015936255,0.6693227091633466,0.7051792828685259,0.7081081081081081,0.6216216216216216,0.7243243243243244,1
Ang  Paypay ni Pipay,0.6833333333333333,0.7,0.6833333333333333,0.4418604651162791,0.3023255813953488,0.6976744186046512,1
Ang Adlaw,0.7508305647840532,0.7508305647840532,0.8106312292358804,0.78125,0.6919642857142857,0.8928571428571429,1
Ang Akong Alkansiya,0.7543859649122807,0.6666666666666666,0.7719298245614035,0.6341463414634146,0.4634146341463415,0.6097560975609756,1
Ang Akong Dulaan,0.6275862068965518,0.5724137931034483,0.6827586206896552,0.5882352941176471,0.5686274509803921,0.696078431372549,1
Ang Akong Higala,0.753968253968254,0.6587301587301587,0.7857142857142857,0.8191489361702128,0.6808510638297872,0.8723404255319149,1
Ang Akong Suod Nga Amigo,0.7123287671232876,0.6757990867579908,0.684931506849315,0.6644736842105263,0.6118421052631579,0.7105263157894737,1
Ang Among Pamilya,0.7204030226700252,0.6826196473551638,0.7531486146095718,0.6666666666666666,0.6041666666666666,0.7465277777777778,1
Ang Anak ug Amahan,0.7543859649122807,0.6842105263157895,0.7543859649122807,0.6829268292682927,0.6402439024390244,0.6951219512195121,1
Ang Baka,0.6419753086419753,0.5895061728395061,0.6666666666666666,0.584070796460177,0.48672566371681414,0.6238938053097345,1
Ang Baki,0.6461038961038961,0.6396103896103896,0.7077922077922078,0.6327433628318584,0.584070796460177,0.7212389380530974,1
Ang Bangaw,0.6299212598425197,0.6299212598425197,0.6377952755905512,0.6451612903225806,0.6451612903225806,0.6666666666666666,1
Ang Bao,0.7457627118644068,0.5932203389830508,0.7457627118644068,0.5365853658536586,0.4878048780487805,0.6829268292682927,1
Ang Bato,0.7464788732394366,0.6619718309859155,0.7464788732394366,0.6415094339622641,0.5283018867924528,0.7735849056603774,1
Ang Birthday ni Jennilyn,0.7098445595854922,0.6787564766839378,0.7357512953367875,0.6027397260273972,0.5342465753424658,0.6712328767123288,1
Ang Bitoon,0.7640449438202247,0.6910112359550562,0.7752808988764045,0.648,0.544,0.64,1
Ang Bola ni Mila,0.784,0.696,0.8,0.7209302325581395,0.6046511627906976,0.7906976744186046,1
Ang Buhok,0.5925925925925926,0.5370370370370371,0.6111111111111112,0.6333333333333333,0.5,0.4666666666666667,1
Ang Bulak nga Santan,0.6666666666666666,0.6825396825396826,0.7301587301587301,0.6666666666666666,0.6666666666666666,0.6904761904761905,1
Ang Celfon ni Niña,0.8088235294117647,0.75,0.8014705882352942,0.6966292134831461,0.5280898876404494,0.7078651685393258,1
Ang Dagat,0.7638888888888888,0.7361111111111112,0.7638888888888888,0.7647058823529411,0.6274509803921569,0.7058823529411765,1
Ang Dala ni Almaug Mama,0.8723404255319149,0.8085106382978723,0.9148936170212766,0.9,0.6666666666666666,0.9,1
Ang Dalunggan,0.658703071672355,0.6143344709897611,0.6621160409556314,0.6294642857142857,0.5669642857142857,0.6428571428571429,1
Ang French Fries,0.5632911392405063,0.4936708860759494,0.6012658227848101,0.5217391304347826,0.48695652173913045,0.6260869565217392,1
Ang Gasa ni Mama,0.6666666666666666,0.6527777777777778,0.7083333333333334,0.6382978723404256,0.5319148936170213,0.6595744680851063,1
