doc_id,mean_sentence_len,mean_word_len,polysyll_freq,type_token_ratio,syll_cv,syll_cvc,syll_ccvc,syll_ccvccc,tag_bi,tag_tri,bik_bi,bik_tri,ceb_bi,ceb_tri,label,language,split_role
0,3.3529411764705883,3.3859649122807016,0.05263157894736842,0.17543859649122806,0.19298245614035087,0.0,0.0,0.0,0.11582614379764505,0.08232785932960007,0.07513217764088392,0.04114925354489111,0.10822189041015792,0.09137426361483666,1,tagalog,high_resource
1,8.5,4.9411764705882355,0.2549019607843137,0.5751633986928104,0.13725490196078433,0.013071895424836602,0.0,0.0,0.42486167560504046,0.35050355441112707,0.34833652058889414,0.29876300121960075,0.37013066838624226,0.3505215340807004,1,tagalog,high_resource
2,9.0,5.380952380952381,0.2857142857142857,0.7619047619047619,0.1111111111111111,0.031746031746031744,0.0,0.0,0.3221433065182205,0.21525785557051277,0.32633984715843417,0.21762911038190966,0.3187369757673256,0.1774576752888772,1,tagalog,high_resource
3,9.038461538461538,5.05531914893617,0.3617021276595745,0.39574468085106385,0.07234042553191489,0.02553191489361702,0.00425531914893617,0.0,0.38326210045202663,0.4394825219513034,0.34648770751592517,0.30637248771610603,0.3844353976547596,0.3943893141069882,1,tagalog,high_resource
4,11.875,5.178947368421053,0.3684210526315789,0.5157894736842106,0.12631578947368421,0.0,0.0,0.0,0.46617060259601356,0.4329025244983307,0.4255618508929718,0.3230430868516399,0.44187227512927996,0.38398131953160647,1,tagalog,high_resource
5,11.547619047619047,4.7917525773195875,0.25773195876288657,0.5072164948453608,0.12371134020618557,0.01443298969072165,0.0,0.0,0.48050678441670674,0.4735601971422632,0.38973098698636,0.3345992929352498,0.4281144648824615,0.3850145988896005,1,tagalog,high_resource
6,3.8,3.744360902255639,0.17293233082706766,0.19548872180451127,0.12781954887218044,0.03759398496240601,0.0,0.0,0.285450521350079,0.1717738689219484,0.29524158117719107,0.16867801553595976,0.27785694430156704,0.1312540801314213,1,tagalog,high_resource
7,7.0,5.214285714285714,0.42857142857142855,0.6428571428571429,0.14285714285714285,0.0,0.0,0.0,0.24956134254965343,0.14032492976250768,0.23634553471822728,0.12129902107158627,0.24297280459785764,0.17710194867376317,1,tagalog,high_resource
8,19.0,4.526315789473684,0.10526315789473684,0.5789473684210527,0.0,0.10526315789473684,0.0,0.0,0.19897606143706703,0.1315871618070951,0.200903411181254,0.12214270878352541,0.19526022244726088,0.19249232038380135,1,tagalog,high_resource
9,7.0,3.9904761904761905,0.18095238095238095,0.4095238095238095,0.14285714285714285,0.009523809523809525,0.0,0.0,0.3642802612179249,0.34734359185869235,0.367254944589156,0.2686031208684035,0.387035629231059,0.3558131468676111,1,tagalog,high_resource
10,3.0588235294117645,3.673076923076923,0.11538461538461539,0.19230769230769232,0.09615384615384616,0.19230769230769232,0.0,0.0,0.15758670881502657,0.08899971229260012,0.14732079815876048,0.07133365555629041,0.15563558812645964,0.05138799563938,1,tagalog,high_resource
11,37.0,4.972972972972973,0.10810810810810811,0.5675675675675675,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.0,0.11673023162248569,0.010393937903883281,0.09802107873760496,0.007645388971739779,0.13906289538940364,0.0183317487238807,1,tagalog,high_resource
12,8.818181818181818,5.144329896907217,0.27835051546391754,0.6804123711340206,0.09278350515463918,0.041237113402061855,0.0,0.0,0.4508925932137791,0.42581690962160373,0.4210698250733523,0.32299752444594115,0.4535066858919275,0.3936154299169214,1,tagalog,high_resource
13,7.72,5.0880829015544045,0.30569948186528495,0.5129533678756477,0.13989637305699482,0.031088082901554404,0.0,0.0,0.4181557748243838,0.38923382452313127,0.4000653444844167,0.2940467974254107,0.4176535140063837,0.3818710661999805,1,tagalog,high_resource
14,15.4,5.194805194805195,0.34415584415584416,0.564935064935065,0.11688311688311688,0.006493506493506494,0.0,0.0,0.45222649488633543,0.413148564569999,0.419101731367279,0.3352556701333683,0.4248552559087223,0.3725012998251474,1,tagalog,high_resource
15,3.764705882352941,3.53125,0.03125,0.21875,0.140625,0.140625,0.0,0.0,0.19822434147559106,0.0886675229626133,0.16727214013271294,0.07291087238926519,0.2198112767395323,0.0739942391014687,1,tagalog,high_resource
16,7.576923076923077,4.730964467005077,0.28426395939086296,0.4416243654822335,0.1319796954314721,0.08121827411167512,0.0,0.0,0.4359077976178885,0.432063595826266,0.3967678886213384,0.2914639123118909,0.43299223582188123,0.39513019807345356,1,tagalog,high_resource
17,7.961538461538462,4.661835748792271,0.28019323671497587,0.4444444444444444,0.14492753623188406,0.004830917874396135,0.0,0.0,0.4549479403247244,0.36113218674704134,0.4139697360178108,0.3392098129022594,0.4086652717591108,0.3068727950915971,1,tagalog,high_resource
18,8.296296296296296,4.883928571428571,0.26339285714285715,0.4955357142857143,0.08482142857142858,0.03125,0.0,0.0,0.46223468020194264,0.36059501341423905,0.35095260040521,0.2983735420228591,0.37743737344749395,0.3263147426904825,1,tagalog,high_resource
19,3.3333333333333335,5.0,0.2,0.5,0.2,0.0,0.0,0.0,0.17559243029372418,0.08069970666523718,0.1257761913078398,0.0802070823960299,0.13777242427388875,0.08069970666523718,1,tagalog,high_resource
20,17.428571428571427,5.590163934426229,0.38524590163934425,0.6557377049180327,0.09836065573770492,0.03278688524590164,0.0,0.0,0.39693813370778364,0.3400491903566728,0.3829683982147008,0.2601168887883278,0.39700055503232495,0.33040239730678017,1,tagalog,high_resource
21,9.8,4.63265306122449,0.21428571428571427,0.6326530612244898,0.1326530612244898,0.02040816326530612,0.0,0.0,0.43593816105538563,0.41789044053781754,0.4114479955122966,0.3044602406004552,0.40852648541953707,0.3446752559915819,1,tagalog,high_resource
22,4.620689655172414,4.865671641791045,0.26119402985074625,0.6343283582089553,0.1044776119402985,0.029850746268656716,0.0,0.0,0.4233353017928181,0.39521505306940163,0.40330315734521704,0.3039860689632749,0.4354623119719356,0.37060793819471416,1,tagalog,high_resource
23,5.5,4.363636363636363,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.0,0.0,0.11782258455601914,0.06599266711320026,0.10389969856459308,0.050097856150658295,0.10236018159958757,0.05141410728630645,1,tagalog,high_resource
24,3.2,5.5,0.375,0.375,0.0,0.1875,0.0,0.0,0.17593369062265446,0.07720299388951575,0.1778085215459601,0.09786711710010523,0.17424012579712425,0.08188687584530666,1,tagalog,high_resource
25,7.027027027027027,4.846153846153846,0.25961538461538464,0.46923076923076923,0.1596153846153846,0.019230769230769232,0.0,0.0,0.463978308643851,0.5387616349261618,0.42449205834696274,0.4280951800798603,0.4594398961880748,0.4581829294810297,1,tagalog,high_resource
26,8.238095238095237,5.219653179190751,0.31213872832369943,0.5375722543352601,0.07514450867052024,0.04046242774566474,0.0,0.0,0.4531660164998033,0.362997427434445,0.4139268760948607,0.31717825645034176,0.4083936059709722,0.31044404960423694,1,tagalog,high_resource
27,7.0,4.5,0.14285714285714285,0.7142857142857143,0.0,0.0,0.0,0.0,0.19189630952128595,0.11405766124421997,0.16391730068193794,0.11632675890008234,0.18410609445463444,0.10063355378585824,1,tagalog,high_resource
28,7.5,4.142857142857143,0.1523809523809524,0.3904761904761905,0.19047619047619047,0.0,0.0,0.0,0.3340745683228857,0.2339293091604425,0.308985427622899,0.21234210165001136,0.32561243454341887,0.21564248117518783,1,tagalog,high_resource
29,18.0,4.805555555555555,0.3055555555555556,0.5694444444444444,0.125,0.06944444444444445,0.0,0.0,0.41355852572646035,0.38588914280693726,0.3522095743579048,0.27846335198338895,0.34924542354655813,0.2740020156375932,1,tagalog,high_resource
30,8.8,4.575757575757576,0.25757575757575757,0.6818181818181818,0.12121212121212122,0.015151515151515152,0.007575757575757576,0.0,0.4186378903411803,0.41145771153255495,0.40413978899445396,0.33337751231858587,0.40572976148201195,0.3709152769947517,1,tagalog,high_resource
