train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa
mono_tagalog,tagalog_test,trad,47.1698,0.479,0.472,0.261,0.2068
mono_tagalog,bikol_test,trad,40.0,0.522,0.4,0.244,0.1304
mono_tagalog,cebuano_test,trad,37.1429,0.473,0.371,0.244,0.126
mono_tagalog,tagalog_test,trad_clgsngo,39.6226,0.397,0.396,0.326,0.0732
mono_tagalog,bikol_test,trad_clgsngo,33.3333,0.459,0.333,0.271,0.0566
mono_tagalog,cebuano_test,trad_clgsngo,34.2857,0.62,0.343,0.257,0.0704
mono_tagalog,tagalog_test,mbert,54.717,0.552,0.547,0.246,0.303
mono_tagalog,bikol_test,mbert,40.0,0.0,0.4,0.457,-0.0651
mono_tagalog,cebuano_test,mbert,40.0,0.0,0.4,0.512,-0.117
mono_tagalog,tagalog_test,all,49.0566,0.49,0.491,0.27,0.2206
mono_tagalog,bikol_test,all,43.3333,0.582,0.433,0.428,0.0
mono_tagalog,cebuano_test,all,40.0,0.0,0.4,0.504,-0.1053
mono_tagalog,tagalog_test,xlmr,43.3962,0.427,0.434,0.314,0.1215
mono_tagalog,bikol_test,xlmr,53.3333,0.494,0.533,0.282,0.2265
mono_tagalog,cebuano_test,xlmr,35.7143,0.392,0.357,0.289,0.0586
mono_tagalog,tagalog_test,all_xlmr,49.0566,0.478,0.491,0.279,0.2103
mono_tagalog,bikol_test,all_xlmr,56.6667,0.502,0.567,0.285,0.2655
mono_tagalog,cebuano_test,all_xlmr,32.8571,0.322,0.329,0.297,0.0232
mono_bikol,tagalog_test,trad,47.1698,0.474,0.472,0.238,0.2206
mono_bikol,bikol_test,trad,66.6667,0.661,0.667,0.217,0.4505
mono_bikol,cebuano_test,trad,65.7143,0.666,0.657,0.283,0.413
mono_bikol,tagalog_test,trad_clgsngo,49.0566,0.513,0.491,0.229,0.252
mono_bikol,bikol_test,trad_clgsngo,53.3333,0.583,0.533,0.254,0.2708
mono_bikol,cebuano_test,trad_clgsngo,58.5714,0.517,0.586,0.334,0.2847
mono_bikol,tagalog_test,mbert,47.1698,0.329,0.472,0.235,0.2311
mono_bikol,bikol_test,mbert,60.0,0.601,0.6,0.223,0.3548
mono_bikol,cebuano_test,mbert,58.5714,0.599,0.586,0.219,0.3596
mono_bikol,tagalog_test,all,45.283,0.314,0.453,0.247,0.1986
mono_bikol,bikol_test,all,63.3333,0.626,0.633,0.204,0.4054
mono_bikol,cebuano_test,all,62.8571,0.627,0.629,0.213,0.4174
mono_bikol,tagalog_test,xlmr,28.3019,0.0,0.283,0.262,0.0171
mono_bikol,bikol_test,xlmr,76.6667,0.769,0.767,0.142,0.6196
mono_bikol,cebuano_test,xlmr,67.1429,0.645,0.671,0.251,0.4486
mono_bikol,tagalog_test,all_xlmr,35.8491,0.0,0.358,0.258,0.0913
mono_bikol,bikol_test,all_xlmr,80.0,0.796,0.8,0.123,0.6721
mono_bikol,cebuano_test,all_xlmr,68.5714,0.669,0.686,0.246,0.4701
mono_cebuano,tagalog_test,trad,45.283,0.513,0.453,0.321,0.137
mono_cebuano,bikol_test,trad,56.6667,0.65,0.567,0.21,0.3333
mono_cebuano,cebuano_test,trad,71.4286,0.709,0.714,0.188,0.5376
mono_cebuano,tagalog_test,trad_clgsngo,45.283,0.459,0.453,0.305,0.1494
mono_cebuano,bikol_test,trad_clgsngo,50.0,0.576,0.5,0.218,0.2462
mono_cebuano,cebuano_test,trad_clgsngo,74.2857,0.743,0.743,0.144,0.592
mono_cebuano,tagalog_test,mbert,52.8302,0.539,0.528,0.271,0.2594
mono_cebuano,bikol_test,mbert,40.0,0.711,0.4,0.165,0.1964
mono_cebuano,cebuano_test,mbert,65.7143,0.663,0.657,0.183,0.4615
mono_cebuano,tagalog_test,all,54.717,0.598,0.547,0.265,0.2862
mono_cebuano,bikol_test,all,43.3333,0.78,0.433,0.136,0.2511
mono_cebuano,cebuano_test,all,67.1429,0.675,0.671,0.177,0.4846
mono_cebuano,tagalog_test,xlmr,56.6038,0.621,0.566,0.255,0.3156
mono_cebuano,bikol_test,xlmr,50.0,0.627,0.5,0.186,0.2857
mono_cebuano,cebuano_test,xlmr,71.4286,0.736,0.714,0.138,0.5597
mono_cebuano,tagalog_test,all_xlmr,58.4906,0.69,0.585,0.244,0.3438
mono_cebuano,bikol_test,all_xlmr,50.0,0.615,0.5,0.198,0.2788
mono_cebuano,cebuano_test,all_xlmr,68.5714,0.728,0.686,0.162,0.5133
bi_bikol_tagalog,tagalog_test,trad,49.0566,0.473,0.491,0.263,0.2202
bi_bikol_tagalog,bikol_test,trad,60.0,0.601,0.6,0.221,0.3583
