doc_id,word_count,sentence_count,mean_word_len,mean_sentence_len,mean_syll_per_word,polysyll_count,phrase_count,type_token_ratio,syll_v,syll_cv,syll_vc,syll_cvc,syll_vcc,syll_cvcc,syll_ccv,syll_ccvc,syll_ccvcc,syll_ccvccc,cons_cluster,tag_bi,tag_tri,bik_bi,bik_tri,ceb_bi,ceb_tri,affix_density,prefix_density,suffix_density,reduplication_rate,ng_digraph_density,function_word_ratio,hapax_ratio,question_ratio,dialogue_ratio,punct_density,label,language,split_role
0,57,17,3.3859649122807016,3.3529411764705883,1.6491228070175439,3,0.0,0.17543859649122806,0.08771929824561403,0.19298245614035087,0.0,0.0,0.12280701754385964,0.0,0.0,0.0,0.0,0.0,0.12280701754385964,0.11582614379764505,0.08232785932960007,0.07513217764088392,0.04114925354489111,0.10822189041015792,0.09137426361483666,0.49122807017543857,0.3684210526315789,0.12280701754385964,0.0,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,1,tagalog,high_resource
1,153,23,4.9411764705882355,6.6521739130434785,1.973856209150327,39,0.43478260869565216,0.5751633986928104,0.0,0.13725490196078433,0.0457516339869281,0.013071895424836602,0.032679738562091505,0.0196078431372549,0.05228758169934641,0.0,0.006535947712418301,0.0,0.4117647058823529,0.42486167560504046,0.35050355441112707,0.34833652058889414,0.29876300121960075,0.37013066838624226,0.3505215340807004,0.9215686274509803,0.6666666666666666,0.2549019607843137,0.0,0.0915032679738562,0.35947712418300654,0.7613636363636364,0.0,0.43478260869565216,0.43478260869565216,1,tagalog,high_resource
2,58,7,5.551724137931035,8.285714285714286,2.1551724137931036,18,0.8571428571428571,0.7413793103448276,0.0,0.1206896551724138,0.05172413793103448,0.017241379310344827,0.05172413793103448,0.06896551724137931,0.0,0.0,0.0,0.0,0.5344827586206896,0.3221433065182205,0.21525785557051277,0.32633984715843417,0.21762911038190966,0.3187369757673256,0.1774576752888772,0.8793103448275863,0.5689655172413793,0.3103448275862069,0.0,0.05172413793103448,0.29310344827586204,0.813953488372093,0.0,0.0,0.8571428571428571,1,tagalog,high_resource
3,210,25,5.119047619047619,8.4,2.142857142857143,79,0.36,0.3952380952380952,0.004761904761904762,0.0761904761904762,0.047619047619047616,0.023809523809523808,0.1,0.004761904761904762,0.04285714285714286,0.004761904761904762,0.0,0.0,0.49523809523809526,0.38326210045202663,0.4394825219513034,0.34648770751592517,0.30637248771610603,0.3844353976547596,0.3943893141069882,1.223809523809524,0.7714285714285715,0.4523809523809524,0.0,0.12380952380952381,0.4,0.6746987951807228,0.0,0.12,0.36,1,tagalog,high_resource
4,188,16,5.207446808510638,11.75,2.132978723404255,70,0.375,0.5106382978723404,0.005319148936170213,0.1276595744680851,0.05319148936170213,0.0,0.06914893617021277,0.02127659574468085,0.02127659574468085,0.0,0.005319148936170213,0.0,0.5106382978723404,0.46617060259601356,0.4329025244983307,0.4255618508929718,0.3230430868516399,0.44187227512927996,0.38398131953160647,1.0904255319148937,0.723404255319149,0.3670212765957447,0.0,0.11702127659574468,0.42021276595744683,0.6770833333333334,0.0,0.0625,0.375,1,tagalog,high_resource
5,437,46,4.935926773455377,9.5,2.0320366132723113,120,0.4782608695652174,0.4919908466819222,0.004576659038901602,0.13729977116704806,0.07551487414187644,0.009153318077803204,0.05263157894736842,0.018306636155606407,0.02288329519450801,0.0,0.0,0.0,0.41418764302059496,0.48050678441670674,0.4735601971422632,0.38973098698636,0.3345992929352498,0.4281144648824615,0.3850145988896005,1.0045766590389016,0.7025171624713958,0.30205949656750575,0.0,0.07551487414187644,0.38215102974828374,0.7534883720930232,0.0,0.1956521739130435,0.4782608695652174,1,tagalog,high_resource
6,127,35,3.779527559055118,3.6285714285714286,1.7401574803149606,23,0.0,0.1889763779527559,0.0,0.13385826771653545,0.08661417322834646,0.015748031496062992,0.09448818897637795,0.0,0.031496062992125984,0.0,0.0,0.0,0.2125984251968504,0.285450521350079,0.1717738689219484,0.29524158117719107,0.16867801553595976,0.27785694430156704,0.1312540801314213,0.8582677165354331,0.7637795275590551,0.09448818897637795,0.0,0.031496062992125984,0.36220472440944884,0.0,0.0,0.0,0.0,1,tagalog,high_resource
7,13,1,5.384615384615385,13.0,2.1538461538461537,6,2.0,0.6153846153846154,0.0,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.24956134254965343,0.14032492976250768,0.23634553471822728,0.12129902107158627,0.24297280459785764,0.17710194867376317,1.6923076923076925,1.2307692307692308,0.46153846153846156,0.0,0.0,0.3076923076923077,0.375,0.0,0.0,2.0,1,tagalog,high_resource
8,19,1,4.526315789473684,19.0,1.4736842105263157,2,1.0,0.5789473684210527,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684,0.0,0.21052631578947367,0.0,0.10526315789473684,0.0,0.7368421052631579,0.19897606143706703,0.1315871618070951,0.200903411181254,0.12214270878352541,0.19526022244726088,0.19249232038380135,0.7368421052631579,0.47368421052631576,0.2631578947368421,0.0,0.10526315789473684,0.21052631578947367,0.2727272727272727,0.0,0.0,1.0,1,tagalog,high_resource
9,105,15,3.9904761904761905,7.0,1.8666666666666667,19,0.06666666666666667,0.4095238095238095,0.0,0.14285714285714285,0.047619047619047616,0.009523809523809525,0.14285714285714285,0.0,0.009523809523809525,0.0,0.0,0.0,0.2571428571428571,0.3642802612179249,0.34734359185869235,0.367254944589156,0.2686031208684035,0.387035629231059,0.3558131468676111,0.7047619047619048,0.49523809523809526,0.20952380952380953,0.0,0.0380952380952381,0.41904761904761906,0.627906976744186,0.0,0.0,0.06666666666666667,1,tagalog,high_resource
