book_title,word_count,sentence_count,phrase_count_per_sentence,average_word_len,average_sentence_len,average_syllable_count,polysyll_count,consonant_cluster_density,v_density,cv_density,vc_density,cvc_density,vcc_density,cvcc_density,ccvc_density,ccv_density,ccvcc_density,ccvccc_density,tagalog_bigram_sim,bikol_bigram_sim,cebuano_bigram_sim,tagalog_trigram_sim,bikol_trigram_sim,cebuano_trigam_sim,grade_level
tag_l1_000,30,6,0.0,3.6,5.0,1.7,0,0.2,1.7,1.5,0.9,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.7948717948717948,0.8205128205128205,0.8125,0.4791666666666667,0.75,1
tag_l1_001,151,22,1.6,4.920529801324503,6.863636363636363,2.1390728476821192,3,0.44370860927152317,2.1390728476821192,1.8079470198675496,1.4569536423841059,0.8675496688741722,0.3443708609271523,0.2781456953642384,0.11920529801324503,0.2185430463576159,0.033112582781456956,0.0,0.7381756756756757,0.7297297297297297,0.7280405405405406,0.7891156462585034,0.6326530612244898,0.6689342403628118,1
tag_l1_002,194,23,1.3043478260869565,5.360824742268041,8.434782608695652,2.2989690721649483,14,0.5154639175257731,2.2989690721649483,1.902061855670103,1.7628865979381443,0.9175257731958762,0.36597938144329895,0.25773195876288657,0.12371134020618557,0.211340206185567,0.015463917525773196,0.0,0.749400479616307,0.7242206235011991,0.7386091127098321,0.8022151898734177,0.6455696202531646,0.6629746835443038,1
tag_l1_003,178,15,1.4,5.196629213483146,11.866666666666667,2.146067415730337,11,0.5168539325842697,2.146067415730337,1.848314606741573,1.702247191011236,0.9325842696629213,0.38764044943820225,0.3089887640449438,0.14606741573033707,0.21910112359550563,0.011235955056179775,0.0,0.7506702412868632,0.7144772117962467,0.7117962466487936,0.7574692442882249,0.616871704745167,0.6115992970123023,1
tag_l1_004,228,21,1.4761904761904763,4.793859649122807,10.857142857142858,2.017543859649123,7,0.38596491228070173,2.017543859649123,1.763157894736842,1.5833333333333333,0.9035087719298246,0.32894736842105265,0.2631578947368421,0.10964912280701754,0.16228070175438597,0.013157894736842105,0.0,0.7389277389277389,0.7132867132867133,0.6841491841491841,0.7792,0.6272,0.6768,1
tag_l1_005,80,21,0.0,3.725,3.8095238095238093,1.875,0,0.2375,1.875,1.2875,1.0625,0.45,0.1875,0.05,0.05,0.1,0.0,0.0,0.8194444444444444,0.8287037037037037,0.8055555555555556,0.7835820895522388,0.6865671641791045,0.746268656716418,1
tag_l1_006,42,6,1.3333333333333333,5.071428571428571,7.0,2.1666666666666665,2,0.4523809523809524,2.1666666666666665,1.880952380952381,1.6428571428571428,0.9285714285714286,0.40476190476190477,0.35714285714285715,0.14285714285714285,0.19047619047619047,0.047619047619047616,0.0,0.7941176470588235,0.7411764705882353,0.788235294117647,0.905511811023622,0.7480314960629921,0.7874015748031497,1
tag_l1_007,72,10,1.2,4.736111111111111,7.2,2.0277777777777777,3,0.5694444444444444,2.0277777777777777,1.5694444444444444,1.5,0.8194444444444444,0.4861111111111111,0.2916666666666667,0.16666666666666666,0.2916666666666667,0.08333333333333333,0.0,0.7620817843866171,0.7286245353159851,0.7286245353159851,0.7208121827411168,0.6345177664974619,0.6649746192893401,1
tag_l1_008,69,8,1.125,4.405797101449275,8.625,1.8115942028985508,1,0.5507246376811594,1.8115942028985508,1.4202898550724639,1.3768115942028984,0.7536231884057971,0.4057971014492754,0.2318840579710145,0.13043478260869565,0.2463768115942029,0.057971014492753624,0.0,0.8042553191489362,0.774468085106383,0.8212765957446808,0.8012048192771084,0.6987951807228916,0.6927710843373494,1
tag_l1_009,136,21,1.1111111111111112,4.419117647058823,6.476190476190476,1.9852941176470589,4,0.3602941176470588,1.9852941176470589,1.6029411764705883,1.4044117647058822,0.7058823529411765,0.2867647058823529,0.15441176470588236,0.0661764705882353,0.1323529411764706,0.014705882352941176,0.0,0.7741935483870968,0.7354838709677419,0.7526881720430108,0.8601823708206687,0.6474164133738601,0.6778115501519757,1
tag_l1_010,67,18,1.2222222222222223,4.044776119402985,3.7222222222222223,1.7611940298507462,0,0.29850746268656714,1.7611940298507462,1.4776119402985075,1.1492537313432836,0.6865671641791045,0.26865671641791045,0.11940298507462686,0.08955223880597014,0.13432835820895522,0.0,0.0,0.6764705882352942,0.6519607843137255,0.6617647058823529,0.5774647887323944,0.5352112676056338,0.5492957746478874,1
tag_l1_011,40,5,0.0,4.45,8.0,1.9,0,0.25,1.9,1.575,1.55,0.875,0.175,0.15,0.075,0.075,0.0,0.0,0.7956204379562044,0.7737226277372263,0.7591240875912408,0.78125,0.59375,0.7395833333333334,1
tag_l1_012,95,11,1.0909090909090908,5.252631578947368,8.636363636363637,2.1789473684210527,4,0.5263157894736842,2.1789473684210527,1.8842105263157896,1.7578947368421052,1.0105263157894737,0.4421052631578947,0.3157894736842105,0.16842105263157894,0.25263157894736843,0.05263157894736842,0.0,0.7935323383084577,0.7487562189054726,0.753731343283582,0.8721311475409836,0.6852459016393443,0.7114754098360656,1
tag_l1_013,246,40,1.2857142857142858,5.134146341463414,6.15,2.138211382113821,10,0.4634146341463415,2.138211382113821,1.934959349593496,1.670731707317073,1.0447154471544715,0.4105691056910569,0.3333333333333333,0.17886178861788618,0.21951219512195122,0.012195121951219513,0.0,0.7724137931034483,0.7182266009852217,0.7369458128078817,0.8220779220779221,0.6454545454545455,0.6844155844155844,1
tag_l1_014,122,9,1.4444444444444444,5.278688524590164,13.555555555555555,2.1639344262295084,9,0.5327868852459017,2.1639344262295084,1.8360655737704918,1.7459016393442623,0.9344262295081968,0.3770491803278688,0.319672131147541,0.18032786885245902,0.22131147540983606,0.01639344262295082,0.0,0.7269230769230769,0.698076923076923,0.6884615384615385,0.7437185929648241,0.6206030150753769,0.6005025125628141,1
