book_title,average_sentence_len,average_syllable_count,grade_level,language,fkgl_score,predicted_label
A Lata,5.0,1.7,1,tagalog,6.420000000000002,3
Aaloo-Maaloo-Kaaloo,6.863636363636363,2.1390728476821192,1,tagalog,12.32787778446719,3
Ako at ang Aking Paaralan,8.217391304347826,2.3386243386243386,1,tagalog,15.21054980446285,3
Ang Aking Matalik Na Kaibigan,7.0,2.1666666666666665,1,tagalog,12.706666666666667,3
Ang Aklat ni Nat,9.351851851851851,1.9108910891089108,1,tagalog,10.60573707370737,3
Ang Alimango at Isda,9.22222222222222,2.180722891566265,1,tagalog,13.739196787148597,3
Ang Aso ni Yana,6.1875,1.9191919191919191,1,tagalog,9.469589646464648,3
Ang Baga,3.857142857142857,1.7777777777777777,1,tagalog,6.8920634920634924,3
Ang baka na may isang sungay,7.7,1.9610389610389607,1,tagalog,10.553259740259737,3
Ang Batang si Karen,8.545454545454545,2.202127659574468,1,tagalog,13.727833655705993,3
Ang Bote ni Boyet,5.742857142857143,1.9154228855721396,1,tagalog,9.251704335465533,3
Ang Bukirin ni Mang Kanor,13.428571428571429,1.9893617021276595,1,tagalog,13.12161094224924,3
Ang Gunting ni Debora,4.75,1.824561403508772,1,tagalog,7.792324561403511,3
Ang Igi,4.571428571428571,1.5,1,tagalog,3.892857142857146,3
Ang Kabayo at ang Baka,8.555555555555555,2.0454545454545454,1,tagalog,11.883030303030303,3
Ang Kalaykay,7.321428571428571,1.946341463414634,1,tagalog,10.23218641114983,3
Ang Kambal na sina Ding at Dong,6.892857142857143,1.922279792746114,1,tagalog,9.781115840118431,3
Ang Kamoteng Kahoy ni Istoy,9.1875,2.1156462585034013,1,tagalog,12.957750850340137,3
Ang Keso,4.3431372549019605,1.9142212189616248,1,tagalog,8.691633913158942,3
Ang Mag-Anak sa Palengke,9.9375,2.0,1,tagalog,11.885625000000001,3
Ang Magkapatid na si Ki at Dee,38.0,1.9342105263157892,1,tagalog,22.053684210526317,3
Ang Mahiwagang Kaldero,10.8,2.1481481481481484,1,tagalog,13.970148148148152,3
Ang Matulungin si Miko,10.047619047619047,1.976303317535545,1,tagalog,11.648950575490861,3
Ang mga hayop sa kalye,8.666666666666666,2.005494505494505,1,tagalog,11.45483516483516,3
Ang Munting Bahay nina Mira,6.37037037037037,2.2732558139534884,1,tagalog,13.71886304909561,3
Ang Pamamasyal ni Pepe,10.77777777777778,1.9381443298969072,1,tagalog,11.483436426116842,3
Ang Pamilyang may Ginintuang Puso,10.61111111111111,2.026178010471204,1,tagalog,12.457233856893541,3
Ang Puno ng Buhay,12.0,1.8277777777777775,1,tagalog,10.657777777777774,3
Ang regalo para kay Jyomo,6.684210526315789,1.9606299212598424,1,tagalog,10.1522751761293,3
Ang Sorpresang Regalo kay Bokbok,6.867924528301887,1.978021978021978,1,tagalog,10.42914990669708,3
Ang Sukli ni Yuno,6.6,1.8282828282828285,1,tagalog,8.557737373737378,3
Astig ng Nanay Ko,8.057553956834532,2.0017857142857145,1,tagalog,11.1735174717369,3
Ate Kaybuti Mo,8.32,2.08974358974359,1,tagalog,12.313774358974364,3
Bechay Pechay,13.764705882352942,2.0042735042735043,1,tagalog,13.428662644545003,3
Bukas si Superman na Ako,16.0,2.06875,1,tagalog,15.061250000000005,3
Doon Po Sa Amin,9.601694915254235,1.9549867608120035,1,tagalog,11.223504794530793,3
Gutom na gutom ako!,8.5,1.923529411764706,1,tagalog,10.422647058823532,3
Halina,7.517241379310345,2.1605504587155964,1,tagalog,12.836219550775073,3
Isang Araw sa Buhay Ko,7.7894736842105265,1.9752252252252247,1,tagalog,10.755552394499759,3
Isang Hiling,9.808219178082192,1.9357541899441344,1,tagalog,11.077104920792841,3
Isko Hambugero,11.75,1.9946808510638296,1,tagalog,12.52973404255319,3
Kakaiba si Kara,7.208333333333333,2.098265895953757,1,tagalog,11.980787572254336,3
Kiko at Kakusog,11.0,2.069090909090909,1,tagalog,13.115272727272725,3
Lito Lita,5.916666666666667,1.816901408450704,1,tagalog,8.156936619718309,3
Maging Malusog,7.04,2.1818181818181817,1,tagalog,12.901054545454546,3
May Mesa si Eba,4.1,1.6585365853658536,1,tagalog,5.579731707317073,3
May Trabungko sa Ilog nina Lolo Isko,8.333333333333334,1.9323076923076925,1,tagalog,10.461230769230774,3
Mga Ibon,4.727272727272728,1.9615384615384612,1,tagalog,9.399790209790208,3
Mga Kasama sa Isla,5.083333333333333,1.8852459016393444,1,tagalog,8.638401639344263,3
Mga Parte ng Ulo,7.222222222222222,1.912820512820513,1,tagalog,9.79794871794872,3
Munting Mario,10.833333333333334,2.0791208791208797,1,tagalog,13.168626373626385,3
Natuto Rin,8.4375,2.011111111111111,1,tagalog,11.43173611111111,3
Paano na ang Pasko?,9.771428571428572,1.9853801169590644,1,tagalog,11.6483425229741,3
Paano Natututunan ng mga Bata ang Matematika,11.689655172413794,2.106194690265487,1,tagalog,13.822062862374125,3
Paghahanda sa Panahon ng Bagyo,7.666666666666667,2.186335403726708,1,tagalog,13.198757763975156,3
Panaginip ni Miko,7.407407407407407,2.03,1,tagalog,11.25288888888889,3
Parang may Kapatid din Ako,7.0,2.110599078341014,1,tagalog,12.045069124423964,3
Potpot Lampayatot,9.724137931034482,1.9397163120567376,1,tagalog,11.091066275372953,3
Saan kaya Kabilang?,7.592592592592593,2.1365853658536587,1,tagalog,12.582818428184286,3
Si Biboy na Mausisa,4.95,1.9494949494949492,1,tagalog,9.344540404040401,3
Si Bimbo ang Batang Bibo,8.222222222222221,2.18018018018018,1,tagalog,13.342792792792793,3
Si Dinong Bulagsak,7.358974358974359,1.9930313588850173,1,tagalog,10.797770034843207,3
Si Ema,5.285714285714286,1.7297297297297298,1,tagalog,6.8822393822393835,3
Si Inang Ibon,14.0,1.9489795918367347,1,tagalog,12.867959183673474,3
Si Ken,8.88,1.936936936936937,1,tagalog,10.729055855855858,3
Si Kiko at Kakusog,11.307692307692308,2.0510204081632653,1,tagalog,13.02204081632653,3
Si Kuwaki,10.0,2.1818181818181817,1,tagalog,14.055454545454548,3
Si Lita at Si Miko,4.5,1.6031746031746033,1,tagalog,5.082460317460317,3
Si Mulak,6.5,1.9038461538461535,1,tagalog,9.410384615384615,3
Si Sisa at ang mga Ibon,5.6875,2.0,1,tagalog,10.228125000000002,3
Unang Baitang,15.4,1.922077922077922,1,tagalog,13.096519480519483,3
Unang Baitang na si Mitang,8.764705882352942,1.9395973154362416,1,tagalog,10.715483616265299,3
Alitaptap,2.1372549019607843,2.541284403669725,2,tagalog,15.23068537506746,3
